[rosmaster.main][INFO] 2017-10-13 16:41:20,178: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-13 16:41:20,178: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-13 16:41:20,179: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-13 16:41:20,179: Started XML-RPC server [http://wks-51-57:11311/]
[xmlrpc][INFO] 2017-10-13 16:41:20,179: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-13 16:41:20,179: Master initialized: port[11311], uri[http://wks-51-57:11311/]
[rosmaster.master][INFO] 2017-10-13 16:41:20,187: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,188: +PARAM [/roslaunch/uris/host_wks_51_57__39201] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,297: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,298: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,298: +PARAM [/multi_global_planner/ant_multi_planner/planning_patience] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,298: +PARAM [/robot_1/move_base_node/global_costmap/base_scan/topic] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,298: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,298: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/min_in_place_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,298: +PARAM [/multi_global_planner/ant_multi_planner/path_cost_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,298: +PARAM [/robot_1/move_base_node/local_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,298: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,299: +PARAM [/robot_0/move_base_node/local_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,299: +PARAM [/robot_1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,299: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/clearing] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:41:20,299: +PARAM [/robot_1/move_base_node/local_costmap/robot_base_frame] by /roslaunch
