[rosmaster.main][INFO] 2017-10-13 16:42:49,190: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-13 16:42:49,190: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-13 16:42:49,190: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-13 16:42:49,190: Started XML-RPC server [http://wks-51-57:11311/]
[xmlrpc][INFO] 2017-10-13 16:42:49,190: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-13 16:42:49,191: Master initialized: port[11311], uri[http://wks-51-57:11311/]
[rosmaster.master][INFO] 2017-10-13 16:42:49,205: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,205: +PARAM [/roslaunch/uris/host_wks_51_57__44852] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,313: +SERVICE [/rosout/get_loggers] /rosout http://wks-51-57:34837/
[rosmaster.master][INFO] 2017-10-13 16:42:49,315: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,315: +SERVICE [/rosout/set_logger_level] /rosout http://wks-51-57:34837/
[rosmaster.master][INFO] 2017-10-13 16:42:49,316: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,317: +PARAM [/multi_global_planner/ant_multi_planner/planning_patience] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,317: +PARAM [/robot_1/move_base_node/global_costmap/base_scan/topic] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,318: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,318: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/min_in_place_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,318: +PARAM [/multi_global_planner/ant_multi_planner/path_cost_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,318: +PARAM [/robot_1/move_base_node/local_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,319: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,319: +PARAM [/robot_0/move_base_node/local_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,319: +PARAM [/robot_1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/clearing] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_1/move_base_node/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_1/move_base_node/global_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_0/move_base_node/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_0/move_base_node/local_costmap/origin_x] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/expected_update_rate] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,320: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_1/move_base_node/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_0/move_base_node/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/escape_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_0/move_base_node/global_costmap/mark_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_0/move_base_node/local_costmap/mark_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_1/move_base_node/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_0/move_base_node/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_0/move_base_node/local_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_1/fake_localization/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_1/move_base_node/global_costmap/base_scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_0/move_base_node/global_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,321: +PARAM [/robot_0/move_base_node/local_costmap/z_resolution] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,322: +PARAM [/robot_1/move_base_node/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,322: +PARAM [/robot_1/move_base_node/local_costmap/origin_z] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,322: +PARAM [/robot_1/move_base_node/robot_name] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,322: +PARAM [/robot_0/move_base_node/local_costmap/origin_y] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:42:49,322: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/heading_lookahead] by /roslaunch
