[rosmaster.main][INFO] 2017-10-13 16:43:00,200: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-13 16:43:00,201: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-13 16:43:00,201: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-13 16:43:00,201: Started XML-RPC server [http://wks-51-57:11311/]
[rosmaster.master][INFO] 2017-10-13 16:43:00,201: Master initialized: port[11311], uri[http://wks-51-57:11311/]
[xmlrpc][INFO] 2017-10-13 16:43:00,202: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-13 16:43:00,210: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,211: +PARAM [/roslaunch/uris/host_wks_51_57__37313] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,320: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,320: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,320: +PARAM [/multi_global_planner/ant_multi_planner/planning_patience] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,320: +PARAM [/robot_1/move_base_node/global_costmap/base_scan/topic] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,320: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,321: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/min_in_place_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,321: +PARAM [/multi_global_planner/ant_multi_planner/path_cost_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,321: +SERVICE [/rosout/get_loggers] /rosout http://wks-51-57:44401/
[rosmaster.master][INFO] 2017-10-13 16:43:00,321: +PARAM [/robot_1/move_base_node/local_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,322: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,322: +PARAM [/robot_0/move_base_node/local_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,322: +PARAM [/robot_1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,322: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/clearing] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,322: +PARAM [/robot_1/move_base_node/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,322: +SERVICE [/rosout/set_logger_level] /rosout http://wks-51-57:44401/
[rosmaster.master][INFO] 2017-10-13 16:43:00,322: +PARAM [/robot_1/move_base_node/global_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,323: +PARAM [/robot_0/move_base_node/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,323: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,323: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,323: +PARAM [/robot_0/move_base_node/local_costmap/origin_x] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,324: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/expected_update_rate] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,324: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,324: +PARAM [/robot_1/move_base_node/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,325: +PARAM [/robot_0/move_base_node/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,325: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/escape_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,325: +PARAM [/robot_0/move_base_node/global_costmap/mark_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,325: +PARAM [/robot_0/move_base_node/local_costmap/mark_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,325: +PARAM [/robot_1/move_base_node/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,326: +PARAM [/robot_0/move_base_node/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,326: +PARAM [/robot_0/move_base_node/local_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,326: +PARAM [/robot_1/fake_localization/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,326: +PARAM [/robot_1/move_base_node/global_costmap/base_scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,326: +PARAM [/robot_0/move_base_node/global_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_0/move_base_node/local_costmap/z_resolution] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_1/move_base_node/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_1/move_base_node/local_costmap/origin_z] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_1/move_base_node/robot_name] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_0/move_base_node/local_costmap/origin_y] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/heading_lookahead] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_1/move_base_node/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,327: +PARAM [/robot_0/move_base_node/local_costmap/origin_z] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,328: +PARAM [/robot_1/move_base_node/global_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:43:00,328: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/sim_granularity] by /roslaunch
