[rosmaster.main][INFO] 2017-10-13 16:36:13,778: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-10-13 16:36:13,778: Starting ROS Master Node
[xmlrpc][INFO] 2017-10-13 16:36:13,779: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-10-13 16:36:13,779: Started XML-RPC server [http://wks-51-57:11311/]
[rosmaster.master][INFO] 2017-10-13 16:36:13,779: Master initialized: port[11311], uri[http://wks-51-57:11311/]
[xmlrpc][INFO] 2017-10-13 16:36:13,779: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-10-13 16:36:13,786: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,787: +PARAM [/roslaunch/uris/host_wks_51_57__39694] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,894: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,894: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/marking] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,894: +PARAM [/multi_global_planner/ant_multi_planner/planning_patience] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/robot_1/move_base_node/global_costmap/base_scan/topic] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/max_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/robot_0/move_base_node/TrajectoryPlannerROS/min_in_place_rotational_vel] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/multi_global_planner/ant_multi_planner/path_cost_tolerance] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/robot_1/move_base_node/local_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/robot_1/move_base_node/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/robot_0/move_base_node/local_costmap/unknown_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/robot_1/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2017-10-13 16:36:13,895: +PARAM [/robot_1/move_base_node/local_costmap/base_scan/clearing] by /roslaunch
