test_id,planning_time_baseplan,execution_time_baseplan,planning_time_implan,execution_time_implan
test_1,0.005531,14.489591,1.256673,14.743151
test_4,0.006159,50.490858,8.623617,18.369062
test_8,0.010032,10.484443,0.505406,9.990789
test_3,0.00523,10.491024,0.825264,10.660206
test_0,0.020572,20.4804,48.337544,20.626614
test_7,0.007522,8.987064,6.701917,8.765906
test_5,0.024263,24.473682,19.9565,25.042237
test_2,0.005633,168.990461,11.322766,13.675264
test_6,0.012807,11.479545,0.680374,11.334608
test_9,0.031688,9.966242,0.400712,10.09763
