test_id,planning_time_baseplan,execution_time_baseplan,planning_time_implan,execution_time_implan
test_9,0.025971,9.462126,0.854782,15.628598
test_1,0.011033,28.980149,5.624215,14.375523
test_4,0.045204,16.950078,3.118353,9.855165
test_8,0.012947,18.971197,13.810238,25.203966
test_3,0.005637,9.490557,3.133874,9.351402
test_0,0.040397,5.456785,0.796806,6.698655
test_7,0.013862,12.457509,0.171589,8.805969
test_5,0.015826,11.978749,0.727505,12.261692
test_6,0.011648,6.492593,0.614285,6.872538
test_2,0.020668,10.457123,1.369791,7.614063
