test_id,planning_time_baseplan,execution_time_baseplan,planning_time_implan,execution_time_implan
test_1,0.023156,22.46987,32.050952,17.442737
test_4,0.006504,12.98164,2.078958,12.912355
test_9,0.005805,9.483279,0.202691,9.792169
test_3,0.008042,9.486597,0.310378,9.687636
test_0,0.021649,11.476263,1.352926,11.647352
test_7,0.019094,7.974143,0.453355,8.035443
test_6,0.018811,12.975177,1.896096,13.101241
test_2,0.008881,19.481865,3.294077,12.200459
test_5,0.007302,20.489576,1.260115,20.738353
test_8,0.015704,24.980331,6.191377,20.807015
