test_id,planning_time_baseplan,execution_time_baseplan,planning_time_implan,execution_time_implan
test_1,0.00664,11.985642,13.400476,12.097158
test_4,0.005239,13.992895,7.669995,13.826976
test_9,0.007978,11.482236,1.386383,11.60542
test_3,0.015391,11.981171,8.223586,12.266173
test_0,0.016729,15.978436,2.433532,16.057587
test_7,0.008945,13.981979,1.47436,14.020721
test_6,0.008229,14.987511,18.71717,15.777488
test_2,0.0071,16.4843,9.547946,16.446527
test_5,0.006641,23.488401,8.248743,11.24766
test_8,0.008561,6.988293,0.486902,7.012038
