test_id,planning_time_baseplan,execution_time_baseplan,planning_time_implan,execution_time_implan
test_1,0.004864,11.993384,12.403626,11.586768
test_4,0.004995,13.992585,7.309061,13.685344
test_9,0.004483,11.494802,1.314051,11.680256
test_3,0.01566,11.978228,7.233751,12.263381
test_0,0.011953,15.989266,1.928803,16.073816
test_7,0.006464,12.486057,1.246685,14.247668
test_5,0.004575,23.496153,8.581026,10.914303
test_2,0.013871,16.475788,8.448079,16.548909
test_6,0.010024,14.984578,18.752286,15.744994
test_8,0.011623,6.986782,0.420972,7.07891
