test_id,planning_time_baseplan,execution_time_baseplan,planning_time_implan,execution_time_implan
test_1,0.005205,9.994113,0.07974,9.911118
test_4,0.005133,22.490865,2.946699,68.561434
test_9,0.006451,9.994799,0.327882,12.665769
test_3,0.008938,9.483392,0.650032,8.349259
test_0,0.014055,70.986527,2.160182,13.839379
test_7,0.013613,12.977167,0.987692,17.003635
test_5,0.007941,21.989889,5.801682,22.176631
test_6,0.013034,14.979544,19.256924,26.234817
test_8,0.005035,22.992317,0.272731,8.724648
test_2,0.007586,63.988905,1.737172,11.759883
