test_id,planning_time_ant_multi,execution_time_ant_mult,planning_time_metric_ff,execution_time_metric_ff,planning_time_baseplan,execution_time_baseplan,cost_ant_multi,cost_metric_ff,cost_baseplan,,ant timeouti
test_0,1.051299,15.444083,0.334683,15.165118,0.013963,70.987021,9,9,117.5,47,
test_1,1.057965,9.93436,0.265927,10.730409,0.014036,9.980762,10,2,2.5,1,
test_2,2.799372,12.197262,3.203649,12.791703,0.008024,72.48372,14,16,102.5,41,
test_3,1.111847,9.386803,0.266626,9.73057,0.005619,49.993032,8,5,30,12,
test_4,/,113.372695,0.452094,32.045176,0.006396,32.492144,/,/,/,11.5,112
test_5,83.435558,22.057503,0.365804,22.624668,0.011315,24.97574,22,13,25,10,195
test_6,/,22.953529,0.306613,10.191857,0.00768,10.992349,29,12,17.5,7,
test_7,0.760176,16.737599,0.289179,13.205473,0.007109,21.485856,/,/,/,5,
test_8,2.117628,28.377698,48.673645,23.319879,0.011943,22.4875,14,10,20,8,
test_9,0.200944,12.797611,0.265779,12.230347,0.007097,35.484421,14,3,10,4,
,11.566848625,26.3259143,5.4423999,16.20352,0.0093182,35.1362545,15,8.75,36.625,14.65,
,,,,,,,23.64,,,,
,,,,,,,,,,,
,,,,,,,maknuti timeoutove,,,,
