test_id,planning_time_ant_multi,execution_time_ant_mult,planning_time_metric_ff,execution_time_metric_ff,planning_time_baseplan,execution_time_baseplan
test_3,273.988807,9.001814,0.357153,8.142916,0.005619,49.993032
test_5,289.478541,24.015279,0.462968,20.027662,0.011315,24.97574
test_2,304.751925,34.745333,4.011481,13.484848,0.008024,72.48372
test_0,161.022479,14.974349,0.445977,15.043738,0.013963,70.987021
test_8,233.880836,22.612172,77.140934,21.855048,0.011943,22.4875
test_9,14.397543,12.098404,0.34375,11.643617,0.007097,35.484421
test_7,43.324319,17.161451,0.402001,15.086423,0.007109,21.485856
test_4,248.518911,15.979853,0.586262,30.407531,0.006396,32.492144
test_1,5.240733,9.762682,0.379381,8.617098,0.014036,9.980762
test_6,299.559042,11.939953,0.383025,10.111952,0.00768,10.992349
